iter	Passed	Remaining
0	185	185461
1	186	93209
2	187	62363
3	188	46931
4	189	37674
5	190	31506
6	191	27100
7	191	23792
8	192	21221
9	193	19173
10	194	17492
11	195	16096
12	196	14906
13	197	13888
14	198	13003
15	198	12225
16	199	11546
17	200	10943
18	201	10399
19	202	9909
20	203	9465
21	203	9061
22	204	8692
23	205	8353
24	206	8042
25	207	7755
26	207	7492
27	208	7251
28	209	7020
29	210	6805
30	211	6604
31	212	6414
32	212	6237
33	213	6070
34	214	5916
35	215	5769
36	216	5628
37	217	5495
38	217	5368
39	218	5247
40	219	5132
41	220	5023
42	221	4920
43	222	4824
44	222	4730
45	223	4639
46	224	4552
47	225	4471
48	226	4393
49	227	4317
50	228	4243
51	228	4173
52	229	4107
53	230	4041
54	231	3977
55	232	3915
56	233	3856
57	233	3798
58	234	3742
59	235	3689
60	236	3639
61	237	3590
62	238	3542
63	238	3495
64	239	3449
65	240	3404
66	241	3361
67	242	3319
68	243	3279
69	243	3240
70	244	3203
71	245	3166
72	246	3129
73	247	3093
74	248	3058
75	248	3025
76	249	2992
77	250	2960
78	251	2930
79	252	2902
80	253	2871
81	253	2842
82	254	2810
83	255	2782
84	255	2754
85	256	2728
86	257	2701
87	258	2677
88	259	2654
89	260	2630
90	261	2607
91	261	2584
92	262	2561
93	263	2539
94	264	2517
95	265	2495
96	265	2475
97	266	2455
98	267	2435
99	268	2415
100	269	2396
101	269	2377
102	270	2358
103	271	2339
104	272	2321
105	273	2304
106	274	2287
107	274	2270
108	275	2253
109	276	2237
110	277	2222
111	278	2207
112	279	2191
113	280	2176
114	280	2162
115	281	2148
116	282	2132
117	283	2118
118	284	2103
119	284	2089
120	285	2075
121	286	2060
122	287	2047
123	288	2035
124	288	2022
125	289	2010
126	290	1997
127	291	1985
128	292	1974
129	293	1962
130	294	1950
131	294	1939
132	295	1927
133	296	1916
134	297	1907
135	298	1896
136	299	1885
137	300	1875
138	301	1864
139	301	1854
140	302	1845
141	303	1833
142	304	1824
143	305	1814
144	306	1804
145	306	1795
146	307	1786
147	308	1776
148	309	1767
149	310	1758
150	311	1749
151	312	1741
152	312	1732
153	313	1723
154	314	1714
155	315	1706
156	316	1697
157	317	1689
158	317	1681
159	318	1673
160	319	1664
161	320	1658
162	321	1651
163	322	1643
164	323	1636
165	324	1628
166	324	1620
167	325	1613
168	326	1605
169	327	1598
170	328	1591
171	353	1701
172	362	1731
173	363	1723
174	363	1715
175	364	1707
176	365	1699
177	366	1691
178	367	1683
179	368	1676
180	368	1669
181	369	1661
182	370	1654
183	371	1646
184	372	1639
185	373	1632
186	373	1625
187	374	1618
188	375	1611
189	376	1604
190	377	1597
191	378	1590
192	378	1584
193	379	1577
194	380	1570
195	381	1563
196	382	1557
197	382	1550
198	383	1544
199	384	1538
200	385	1531
201	386	1525
202	387	1519
203	387	1513
204	388	1507
205	389	1500
206	390	1494
207	391	1489
208	391	1483
209	392	1477
210	393	1471
211	394	1465
212	395	1460
213	395	1454
214	396	1448
215	397	1443
216	398	1438
217	399	1432
218	400	1426
219	401	1422
220	402	1417
221	402	1412
222	403	1406
223	404	1401
224	405	1396
225	406	1391
226	407	1386
227	407	1381
228	408	1376
229	409	1371
230	410	1366
231	411	1361
232	412	1356
233	412	1351
234	413	1346
235	414	1342
236	415	1337
237	416	1332
238	416	1327
239	417	1322
240	418	1317
241	419	1313
242	420	1308
243	420	1304
244	421	1299
245	422	1295
246	423	1290
247	424	1286
248	424	1281
249	425	1277
250	426	1272
251	427	1268
252	428	1264
253	429	1260
254	430	1256
255	430	1252
256	431	1247
257	432	1243
258	433	1239
259	433	1235
260	434	1231
261	435	1227
262	436	1223
263	437	1219
264	438	1215
265	439	1211
266	439	1207
267	440	1203
268	441	1199
269	442	1195
270	443	1192
271	443	1188
272	444	1184
273	445	1180
274	446	1176
275	447	1172
276	447	1169
277	448	1165
278	449	1161
279	450	1158
280	451	1154
281	452	1151
282	452	1147
283	453	1143
284	454	1140
285	455	1136
286	456	1133
287	456	1129
288	457	1126
289	458	1123
290	459	1119
291	460	1116
